,screen_name,statuses_count
386,asap_truuu,6963.0
388,SEEDLIFELLC,356.0
389,MasonChrist_23,8101.0
391,IAmLizzyHoward,18102.0
393,michelleabalzer,12964.0
395,RogerDaJuiceman,33327.0
396,RealMFTalk89,4085.0
397,raabulls,1802.0
399,jenjensenmorse,9993.0
401,bill_815,889.0
403,SParker0690,2649.0
405,jimithingin,8269.0
406,JoshJostes,28450.0
407,Swaggy15_,29424.0
408,donnietillman_,17977.0
412,bdotboii,10259.0
414,JohannaGrange,11724.0
415,Gaynor1245,17453.0
416,aimeemichelle91,2048.0
417,goblefarms,981.0
419,MrsPerva,8171.0
422,ltdave97,423.0
430,jorge882,2644.0
431,kgood1998,7003.0
432,DeeARobb,543.0
440,JizzyHobbs,6044.0
442,kta1927,1344.0
447,El_Honcho21,10310.0
450,graciewebes,829.0
455,one_man_show,2439.0
456,JodyOsmund,7283.0
457,jolitost,12495.0
460,Chorley_67,1735.0
462,prman736,255.0
464,sam__blazek,10397.0
465,heidigo1952,1677.0
466,mrs__namdoog,34386.0
468,RWehrheim,616.0
469,dawndesart,2145.0
471,CoachMace90,50611.0
474,ethanthomas_1,2807.0
475,rammsey_15,986.0
476,adam_barbee,13375.0
477,ChristianR618,2004.0
484,PacificAziz,9305.0
485,DavidHartmann,9001.0
486,gmsinghxxx,7654.0
487,jasonbenefield,44659.0
489,sooz227,1988.0
491,mayhue96,2276.0
498,MrsHuney8814,6174.0
499,jaycanchu,6808.0
500,_TheFreshPinc_,10232.0
502,tj_curtin,366.0
505,shaykardashh,10965.0
507,realKeithK,36085.0
508,raexcole,28371.0
511,thelenkaitis,12438.0
512,heyjude66,20156.0
514,xmabaker,2789.0
515,mehaas50,13799.0
516,_KisssMee_,19196.0
517,Mancey_13,8598.0
518,MSandschafer,1042.0
522,SenorMarten,15636.0
523,Storm_warnings,4739.0
529,cgpresadog,3440.0
531,ellie_xoxo_1998,9758.0
534,GraceChellino,1101.0
535,skporter,20824.0
536,sawyerk12,5936.0
539,gabmcmahon,27645.0
540,emspades,6475.0
541,F3lipeAlba,3258.0
542,ISUpunk31,4546.0
543,BkmRlm9294,7973.0
544,ilfirefighter,1176.0
545,CJ_Leary_,1307.0
546,iembot_ilx,130752.0
548,DENISE_0711,4818.0
549,KristiH10568,7877.0
552,tampicohistoric,1133.0
553,awaiting_escape,6629.0
555,LarryEsper,1532.0
556,RachelRusnak5,1886.0
557,itsmecolint,6454.0
558,evan2003brian,10684.0
559,Massey_2018,5341.0
562,dalesellerssays,3552.0
567,mariaruiz645,549.0
573,BigChiefStew,21774.0
